"","X.1","Sequence","Speaker","Utterance","X"
"1",1,1,"M1:"," (0) eh 啊 ,","Angelina"
"2",2,2,"M1:"," ... (1.4) 最近 都 沒有 跟 那 些 人 ,",""
"3",3,3,"M1:"," .. 那個 啊 ?",""
"4",4,4,"M1:"," ... [最近 是] --",""
"5",5,5,"M2:"," [比 較少 一 點 喔] .",""
"6",6,6,"M2:"," ... (3.4) 因 為 ,",""
"7",7,7,"M2:"," ... (1.4) 現 在 大家 也 各 忙 各 的 .",""
"8",8,8,"M2:"," .. 反正 我 就 做 我 的 <L2 trading L2> .",""
"9",9,9,"M2:"," ... (1.5) 搞 我 自己 的 東西 .",""
"10",10,10,"M1:"," (0) 可是 ,",""
"11",11,NA,"M1:"," 走掉 的 也 很多 啊 ?",""
"12",12,11,"M2:"," (0) um .",""
"13",13,NA,"M2:"," 这样 不行 --",""
"14",14,NA,"M2:"," 这样 --",""
"15",15,NA,"M2:"," 喔 有 啦 ,",""
"16",16,12,"M2:"," .. <L2 Mark L2> 我 最近 比 較常 跟 他 聯絡 .",""
"17",17,13,"M2:"," .. 蔡 .",""
"18",18,14,"M1:"," .. 蔡喔 .",""
"19",19,15,"M2:"," .. 他 自己 --",""
"20",20,NA,"M2:"," 現 在 自己 在 做 交易 .",""
"21",21,NA,"M2:"," 所以 我 們還 蠻 多 ,",""
"22",22,NA,"M2:"," .. 互相 交流 的 .",""
"23",23,17,"M1:"," .. 我 知道 他 從 自營部 離開 呀 .",""
"24",24,18,"M2:"," ... (1.3) 他 現 在 在 那 個 什麼 ,",""
"25",25,19,"M2:"," ... (1.0) 忠 孝敦化 的 路口 .",""
"26",26,20,"M2:"," .. 有 一 個 太平洋 證券 .",""
"27",27,NA,"M2:"," 它 裡面 弄 了 個 --",""
"28",28,21,"M2:"," ... 操盤室 他 在 裡面 弄 .",""
"29",29,NA,"M2:"," 因為 好像 那 一家 分公司 的 經理 .",""
"30",30,NA,"M2:"," 跟 他 是 好 朋友 .",""
"31",31,22,"M1:"," ... (2.8) 太平洋 證券 還 在 唷 ?",""
"32",32,23,"M2:"," (0) um ?",""
"33",33,24,"M1:"," .. 太平洋 證券 [還 在 XX] ?",""
"34",34,25,"M2:"," [<@ 對 .",""
"35",35,NA,"M2:"," 還 在 @>] @ .",""
"36",36,26,"M2:"," .. 全 台灣 有 幾個 點 .",""
"37",37,27,"M1:"," .. um .",""
"38",38,28,"M2:"," .. 我 是 不 知道 他們 是 靠 什麼 做 .",""
"39",39,NA,"M2:"," 反正 那 一 間 --",""
"40",40,NA,"M2:"," 那 個 點還 在 .",""
"41",41,NA,"M2:"," 然後 <L2 Mark L2> 還 在 裡面 操盤 .",""
"42",42,29,"M2:"," ... (1.0) 所以 最近 我 們 常常 在 那 邊 跟 他 聊 .",""
"43",43,NA,"M2:"," 所以 下 -",""
"44",44,NA,"M2:"," 接下來 ,",""
"45",45,NA,"M2:"," 下個 禮拜 可能 找 他 跟 --",""
"46",46,30,"M2:"," .. 李 呀 什麼 吃 個飯 .",""
"47",47,NA,"M2:"," 反正 既然 都 在 操盤 大家 聊 一 聊 交流 [交 流] .",""
"48",48,31,"M1:"," [X]",""
"49",49,32,"M1:"," ... 小樓 這件 事 嗎 ?",""
"50",50,33,"M2:"," (0) um ?",""
"51",51,34,"M1:"," .. 小樓 .",""
"52",52,35,"M2:"," .. 有 見過 一 兩 次 .",""
"53",53,NA,"M2:"," 不 太 熟 .",""
"54",54,36,"M1:"," (0) um .",""
"55",55,37,"M1:"," ... (1.7) 大概 黃 比 較熟 吧 ?",""
"56",56,38,"M2:"," .. um .",""
"57",57,39,"M1:"," ... (3.9) 那 時候 我 當 小 特助 的 時候 ,",""
