filename,TurnSeq,IUSeq,Speaker,Utterance
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,1,F1:,(.)
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,1,F1:,今天
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,1,F1:,去
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,1,F1:,幫
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,2,F1:,(...)
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,2,F1:,幫
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,2,F1:,妳
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,2,F1:,領
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,2,F1:,那
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,2,F1:,個
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,3,F1:,(...)
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,3,F1:,今天
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,3,F1:,帶
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,3,F1:,皮皮
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,3,F1:,下去
NCCU-TM004-CN-FF_Haoran&Sabrina.,1,3,F1:,啊
NCCU-TM004-CN-FF_Haoran&Sabrina.,2,4,F2:,(.)
NCCU-TM004-CN-FF_Haoran&Sabrina.,2,4,F2:,um
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,5,F1:,(.)
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,5,F1:,結果
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,5,F1:,上來
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,5,F1:,啊
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,6,F1:,(.)
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,6,F1:,[然後]
NCCU-TM004-CN-FF_Haoran&Sabrina.,4,7,F2:,[um]
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,8,F1:,(...)
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,8,F1:,然後
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,8,F1:,就
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,8,F1:,順便
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,8,F1:,幫
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,8,F1:,妳
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,8,F1:,領
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,8,F1:,掛號
NCCU-TM004-CN-FF_Haoran&Sabrina.,3,8,F1:,啊
