"","TurnSeq","Speaker","Utterance","IUSeq"
"1",1,"M:","(.) 還 有 嗎 ?",1
"2",2,"F1:","(.) 好 .",2
"3",3,"F2:","(.) @",3
"4",4,"M:","(.) 再來 啊 .",4
"5",4,"M:","(.) 再 說 一堂 課 ,",5
"6",4,"M:","(.) 讓 我 感受 一下 .",6
"7",4,"M:","(...) 沒有 了 嘛 ?",7
"8",4,"M:","(...) 沒有 了 嘛 ?",8
"9",4,"M:","(.) 啊 ,",9
"10",4,"M:","(.) 有 Homework 三 嗎 ?",10
"11",5,"F2:","(.) 好像 [還 沒 說] .",11
"12",6,"F1:","[還 沒 吧] .",12
"13",7,"M:","(0) Yeah 啊 ,",13
"14",7,"M:","有 期中考 嗎 .",14
"15",8,"F1:","(.) 他 [2沒2] 考試 吧 .",15
"16",8,"F1:","(.) 我 記得 就 只有 期末 報告 .",16
"17",9,"F2:","[2沒有 ,",17
"18",9,"F2:","(.)2] 就 期末 報告 .",18
"19",10,"M:","(0) 但 我 機器學習 下 禮拜 要 期中考 欸 .",19
"20",11,"F1:","(.) 什麼 ?",20
"21",12,"M:","(.) 那 個 機器學習 概論 .",21
"22",13,"F2:","(.) 哦= 你 後來 有 去 修 ?",22
"23",14,"F1:","(.) 誰 的 啊 ?",23
"24",15,"F2:","(.) 禮拜四 下午 那 個 ,",24
"25",16,"M:","(.) 禮拜二 早上 --",25
"26",16,"M:","(.) 資科 的 啊 .",26
"27",16,"M:","(.) 我 跟 劉 還有 呂 .",27
"28",17,"F2:","(...) 誰上 的 啊 ?",28
"29",18,"M:","(.) 嗯= 我 看看 .",29
"30",19,"F2:","(.) 說不定 ,",30
"31",19,"F2:","(.) 我 可以 幫 你 拿到 考古 題 .",31
"32",20,"M:","(.) [哎 呦] .",32
"33",21,"F1:","[哎 呦] 你 說 問 資科 的 [2宅宅 們2] .",33
"34",22,"M:","[2宅宅 們2] .",34
"35",23,"F2:","(.) 你 看 你們 就 這樣 # 誤會 我 .",35
"36",24,"F1:","(.) 沒有 我 只是 順著 你 的 話 .",36
"37",25,"M:","(.) 劉 .",37
"38",26,"F2:","(.) 哦= .",38
"39",27,"M:","(.) 有 嗎 ?",39
"40",27,"M:","(.) 不 熟 .",40
"41",28,"F2:","(.) 我 有 --",41
"42",28,"F2:","(...) 認識 可以 開個 口 問問 這樣 .",42
"43",29,"F1:","(.) 他 是 考 考古題 喔 .",43
"44",30,"M:","(.) Yeah 劉 ,",44
"45",30,"M:","(.) 我 不 知道 啊 .",45
"46",30,"M:","(.) 他 第一 堂 課 就 一直 在 講 線性 迴歸",46
"47",30,"M:","(.) 我 就 覺得 超 無聊 的 .",47
"48",30,"M:","(.) 然後 第二 堂 課 去 還 是 在 講 線性 迴歸 .",48
"49",30,"M:","(.) 我 想 說 你 到底 要 講 到 什麼 時候 .",49
"50",31,"F1:","(.) 所以 你 最後 去 了 幾 堂 ?",50
"51",32,"M:","(.) 然後 就 ,",51
"52",32,"M:","(.) 再 也 沒 去 了 .",52
"53",32,"M:","(.) 我 去 了 三 次 了 ,",53
"54",32,"M:","(.) 去 了 三 週 .",54
"55",33,"F1:","(.) 會 不 會 發現 今天 去 結果 發現 是 今天 考 .",55
"56",34,"M:","(.) 沒有 ,",56
"57",34,"M:","(.) 我 去 了 三 週 就 三 週 .",57
"58",35,"F2:","(.) 沒有 ,",58
"59",35,"F2:","(.) 他 的 意思 是 說不定 是 今天 考試 你 已經 --",59
"60",36,"M:","(.) 沒有 ,",60
"61",36,"M:","(.) 禮拜二 啊 .",61
"62",36,"M:","(.) 禮拜二 .",62
"63",36,"M:","(.) 可是 我 問 了 劉 和 呂 說 他們 都 沒 去 .",63
"64",36,"M:","(.) 所以 就 --",64
"65",36,"M:","(.) 嗯=",65
"66",36,"M:","(.) 沒 關係 .",66
"67",37,"F1:","(.) 結果 你們 都 不 知道 這 週 其實 就 已經 考 完 了 這樣 .",67
"68",38,"F2:","(.) 哦 好 那 我 可以 幫 你 問 一下 .",68
"69",39,"M:","(.) 沒有 其實 他 說 已經 考 完 了 .",69
"70",40,"F2:","(.) 喔 對 .",70
"71",40,"F2:","(.) 說不定 其實 考 完 了 .",71
"72",41,"F1:","(.) 說不定 考 完 了 GG .",72
"73",42,"F2:","(.) 沒有 拉 .",73
"74",42,"F2:","(.) 他們 資科 的 老師 都 喜歡 在 當週 .",74
"75",43,"M:","(.) 真的 喔 .",75
"76",43,"M:","(...) 有 有 四月 十六 有 建議 作業 那 就 一定 沒有 考試 .",76
"77",43,"M:","(...) 因為 它 都 會 它 都 會 po 在 moodle .",77
"78",43,"M:","(...) 然後 有人 回 他 建議 作業 就 會 一直 寄 信 給 我 .",78
"79",43,"M:","(...) 所以 我 現在 被 它 佔滿 了 .",79
"80",43,"M:","(.) 我 的 信箱 被 被 M L 佔滿 了 ,",80
"81",43,"M:","(.) 但 我 從來 沒有 打開 來過 .",81
"82",44,"F1:","(.) 可是 實用 投資 學會 一直 寄 信 .",82
"83",45,"F2:","(.) 嗯 .",83
"84",46,"M:","(.) 真的 喔 .",84
"85",47,"F1:","(.) 你 寫 了 嗎 ?",85
"86",48,"F2:","(.) 還 沒 ,",86
"87",48,"F2:","(.) 我 還 沒 動 .",87
"88",49,"M:","(.) 一定 要 寫 喔 .",88
"89",50,"F1:","(.) 因為 我們 那 是 [期中考] .",89
"90",51,"F2:","[期中考] .",90
"91",52,"M:","(.) 哦= 我 下午 --",91
"92",53,"F1:","(.) 但 他 要 打印 出來 我 都 覺得 很 微妙 .",92
"93",54,"M:","(.) 我 下午 還 有 一 堂 課 要 打 心得 超 智障 的 .",93
"94",55,"F1:","(.) 你 下午 不是 --",94
"95",56,"M:","(.) 程式 設計 概論 [2為什麼 要 打 心得2] .",95
"96",57,"F1:","[2要 打 心得2] 這 是 什麼 ?",96
"97",58,"M:","(.) 那 個 老師 就是 一直 很 想 要 做 那 種 翻轉 教室 的 感覺 .",97
"98",59,"F2:","(.) 你們 也 有 印 那 種 聖誕樹 什麼 的 嗎 ?",98
"99",60,"M:","(.) 什麼 聖誕樹 .",99
"100",61,"F1:","(.) 你 是 學 哪 一 種 ?",100
"101",62,"F2:","(.) 我 那 時候 ,",101
"102",62,"F2:","(.) 在 引水人 值班室 .",102
"103",62,"F2:","(.) 就是 看到 一 個 學妹 ,",103
"104",62,"F2:","(.) 然後 我 看著 她 對 著 電腦 皺 著 眉頭 不 知道 在 幹嘛 .",104
"105",63,"M:","(.) 現在 是 什麼 時間 你 給 我 印 聖誕樹 .",105
"106",64,"F1:","(.) 所以 現 在 要 印 什麼 .",106
"107",65,"F2:","(...) 然後 --",107
"108",66,"M:","(0) 今天 是 受難日 啊 .",108
