"","Sequence","Speaker","Utterance","X"
"1",1,"M1:","(0)eh啊 ,","Angelina"
"2",2,"M1:","...(1.4)最近都沒有跟那 些人 ,",""
"3",3,"M1:","..那個啊 ?",""
"4",4,"M1:","...[最近是] --",""
"5",5,"M2:","[比較少一點喔] .",""
"6",6,"M2:","...(3.4)因為 ,",""
"7",7,"M2:","...(1.4)現在大家也各忙各的 .",""
"8",8,"M2:","..反正我就做我的<L2 trading L2> .",""
"9",9,"M2:","...(1.5)搞我自己的東西 .",""
"10",10,"M1:","(0)可是 ,",""
"11",NA,"M1:","走掉的也很多啊 ?",""
"12",11,"M2:","(0)um .",""
"13",NA,"M2:","这样不行--",""
"14",NA,"M2:","这样--",""
"15",NA,"M2:","喔有啦 ,",""
"16",12,"M2:",".. <L2 Mark L2>我最近比較常跟他聯絡 .",""
"17",13,"M2:","..蔡 .",""
"18",14,"M1:","..蔡喔 .",""
"19",15,"M2:","..他自己 --",""
"20",NA,"M2:","現在自己在做交易 .",""
"21",NA,"M2:","所以我們還蠻多 ,",""
"22",NA,"M2:","..互相交流的 .",""
"23",17,"M1:","..我知道他從自營部離開呀 .",""
"24",18,"M2:","...(1.3)他現在在那個什麼 ,",""
"25",19,"M2:","...(1.0)忠孝敦化的路口 .",""
"26",20,"M2:","..有一個太平洋證券 .",""
"27",NA,"M2:","它裡面弄了個 --",""
"28",21,"M2:","...操盤室他在裡面弄 .",""
"29",NA,"M2:","因為好像那一家分公司的經理 .",""
"30",NA,"M2:","跟他是好朋友 .",""
"31",22,"M1:","...(2.8)太平洋證券還在唷 ?",""
"32",23,"M2:","(0)um ?",""
"33",24,"M1:","..太平洋證券[還在XX] ?",""
"34",25,"M2:","[<@對 .",""
"35",NA,"M2:","還在@>]@ .",""
"36",26,"M2:","..全台灣有幾個點 .",""
"37",27,"M1:","..um .",""
"38",28,"M2:","..我是不知道他們是靠什麼做 .",""
"39",NA,"M2:","反正那一間 --",""
"40",NA,"M2:","那個點還在 .",""
"41",NA,"M2:","然後<L2 Mark L2>還在裡面操盤 .",""
"42",29,"M2:","...(1.0)所以最近我們常常在那邊跟他聊 .",""
"43",NA,"M2:","所以下 -",""
"44",NA,"M2:","接下來 ,",""
"45",NA,"M2:","下個禮拜可能找他跟 --",""
"46",30,"M2:","..李呀什麼吃個飯 .",""
"47",NA,"M2:","反正既然都在操盤大家聊一聊交流[交流] .",""
"48",31,"M1:","[X]",""
"49",32,"M1:","...小樓這件事嗎 ?",""
"50",33,"M2:","(0)um ?",""
"51",34,"M1:","..小樓 .",""
"52",35,"M2:","..有見過一兩次 .",""
"53",NA,"M2:","不太熟 .",""
"54",36,"M1:","(0)um .",""
"55",37,"M1:","...(1.7)大概黃比較熟吧 ?",""
"56",38,"M2:","..um .",""
"57",39,"M1:","...(3.9)那時候我當小特助的時候 ,",""
"58",NA,"M1:","他是董事 .",""
"59",40,"M2:","(1.9)他後來是不是在澳門當 ,",""
"60",41,"M1:","(0)um..對 .",""
"61",43,"M2:","(0)[公務員] ?",""
"62",44,"M1:","[司法]-",""
"63",NA,"M1:","司法警察 .",""
"64",45,"M1:","...(2.4)他老婆的問題還沒解決 .",""
"65",NA,"M1:","很麻煩 .",""
"66",46,"M2:","...(1.7)他老婆是 --",""
"67",47,"M2:","...原本就有那樣的狀況然後後來才展現出來 .",""
"68",NA,"M2:","還是說 ,",""
"69",48,"M2:","...後來才得憂鬱症 .",""
"70",49,"M1:","(0)後來更嚴重 .",""
"71",50,"M1:","..聽說原-",""
"72",NA,"M1:","本來就<L3 siau1 siaul L3> .",""
"73",51,"M2:","...(2.7)幾年前我跟 ,",""
"74",52,"M2:","...(1.9)嘉跟李跑去澳門玩 .",""
"75",53,"M1:","..喔 .",""
"76",54,"M2:","(0)有跟他們一起吃飯 .",""
"77",NA,"M2:","可是那時候他老婆看起來很正常 .",""
"78",55,"M1:","...(4.7)零四年以後啦 .",""
"79",56,"M2:","...(1.4)是喔 .",""
"80",57,"M2:","...可是我上次見到她應該是零九年喔 .",""
"81",58,"M1:","(0)um .",""
"82",59,"M2:","...那時候她還蠻正常的 .",""
"83",60,"M2:","...(2.5)沒想到後來就變那個樣子 .",""
"84",61,"M1:","(0)um ,",""
"85",62,"M1:","..他跟我講說 ,",""
"86",63,"M1:","..他 ,",""
"87",64,"M1:","...(1.1)把他丟 --",""
"88",65,"M1:","..就是 ,",""
"89",66,"M1:","..落跑來台灣 .",""
"90",67,"M2:","...(1.7)是喔 .",""
"91",68,"M2:","...(1.7)那怎麼辦 ?",""
"92",69,"M1:","...(1.0)沒有啊 ,",""
"93",70,"M1:","..就 ,",""
"94",71,"M1:","..他司法警察也不能跑啊 .",""
"95",72,"M1:","...總不能跑走 .",""
"96",NA,"M1:","大概帶得回來台灣就回台灣啊 .",""
"97",73,"M1:","...(1.7)比較慘的地方就是說 ,",""
"98",74,"M1:","..小朋友那時候在美國生的啊 .",""
"99",75,"M1:","...(1.0)拿美國護照 .",""
"100",76,"M1:","..他回來台灣 ,",""
"101",77,"M1:","..他在台-",""
"102",78,"M1:","..美國護照又過期 .",""
"103",NA,"M1:","他沒辦法辦台灣護照 .",""
"104",79,"M2:","...(1.7)這很誇張耶 .",""
"105",NA,"M2:","怎麼 --",""
"106",80,"M1:","(0)他媽媽扣住他的美國護照不讓他動 .",""
"107",81,"M1:","...就沒辦法<L2 renewL2>啊 .",""
"108",82,"M1:","...(4.2)小孩子在父親手上 .",""
"109",83,"M2:","...(3.4)還有這種事喔 .",""
"110",84,"M1:","..um .",""
"111",NA,"M1:","..那人反正既然在台灣不-",""
"112",85,"M2:","也不能辦身分 ?",""
"113",86,"M1:","..對 .",""
"114",87,"M2:","..好奇怪喔 .",""
"115",NA,"M2:","為什麼 ?",""
"116",88,"M1:","(0)他還有一次逾期居留@ .",""
"117",89,"M2:","...怎麼那麼詭異 .",""
"118",90,"M1:","(0)不是呀 ,",""
"119",NA,"M1:","了不起耶 .",""
"120",91,"M2:","...(1.0)怎麼會搞成這樣 .",""
"121",92,"M1:","...(4.1)然後他老婆好像把 ,",""
"122",NA,"M1:","他們家 --",""
"123",93,"M1:","..中間回去一趟澳門 ,",""
"124",NA,"M1:","把家裡的黃金 ,",""
"125",94,"M1:","...全部幫-",""
"126",95,"M1:","..搬光 .",""
"127",96,"M1:","...然後 ,",""
"128",97,"M1:","...(2.5)然後最近靠 --",""
"129",98,"M1:","..靠賣黃金過日子 .",""
"130",99,"M2:","..@@@@@<@這真他媽的了不起喔@> .",""
"131",100,"M1:","..tsk",""
"132",101,"M2:","...因為那時候他加我 ,",""
"133",NA,"M2:","在<L2 Facebook L2>上加我 ,",""
"134",NA,"M2:","X我想這個人是誰 ,",""
"135",NA,"M2:","就等於是你XXX",""
"136",102,"M2:","...結果點進去靠一看我想說 ,",""
